"","tool","population","sensitivity","specificity"
"208","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.433642700391682,0.797988451856917
"209","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.567527080748488,0.864377581450176
"210","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.640378175459328,0.805459319019542
"211","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.527146825812127,0.824537633430083
"212","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.406137606945105,0.82978560212716
"213","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.518215773310594,0.79618425897111
"214","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.319306415762963,0.77093029942458
"215","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.543948096923059,0.83972897401956
"216","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.522604185063284,0.777293726936763
"217","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.526504740710181,0.806873672285524
"218","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.434281717001387,0.826118310937562
"219","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.569682227195815,0.821935168704904
"220","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.681551715395033,0.82446613800326
"221","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.579626599920524,0.818848737197683
"222","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.298161601189634,0.81937316231628
"223","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.607867625999901,0.868968609517762
"224","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.474540628323741,0.847537506872478
"225","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.601202771324395,0.788397174197969
"226","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.477897391625908,0.868139598178548
"227","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.222033838324436,0.824681971988398
"228","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.501207300088122,0.827749539413666
"229","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.556379946325952,0.781693196425235
"230","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.337072637032593,0.849119148564629
"231","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.492931404056722,0.831801279559327
"232","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.47062510043391,0.882790907611756
"233","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.577830194781749,0.811855819417082
"234","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.723930705823202,0.799662013867696
"235","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.327684532158829,0.808824327881365
"236","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.370079419657333,0.805167077386351
"237","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.371428188787862,0.804794333798179
"238","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.384598483761084,0.812881831018981
"239","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.580984902987998,0.818261452104029
"240","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.73032016965609,0.83577099547894
"241","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.393420750679593,0.829045665451268
"242","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.392500244883155,0.860414132797146
"243","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.557510684238242,0.836963049170429
"244","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.507678877769668,0.807944954010825
"245","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.643578248621616,0.779014630997466
"246","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.552290324435676,0.815434262452162
"247","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.485158509591231,0.802473677409069
"248","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.568875394880362,0.835919063499319
