"","tool","population","sensitivity","specificity"
"153","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.725112654340536,0.839938865243801
"154","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.821453900369512,0.839566982249208
"155","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.807859816551192,0.817881301259976
"156","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.785806498772341,0.764634837345185
"157","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.793279429116621,0.77132691898686
"158","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.791049620225385,0.817290970043338
"159","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.751292668577108,0.82023816360106
"160","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.762705347800802,0.838755756069524
"161","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.738235452729676,0.841305340344847
"162","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.814325560867113,0.837497570726447
"163","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.810147402692408,0.857300610903108
"164","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.77519376722867,0.812113147313289
"165","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.760844814524594,0.793700244923908
"166","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.783799626664474,0.77703237802335
"167","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.77509848588438,0.827603438993791
"168","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.772109919527286,0.883808413596258
"169","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.740534306730781,0.872195764963286
"170","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.767481837769231,0.816590491044262
"171","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.793756570910635,0.829863168951352
"172","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.752612472432621,0.835824340247051
"173","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.762360646661286,0.775884225909243
"174","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.690345622158517,0.815721752556992
"175","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.766207273276661,0.763606922822363
"176","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.777921185141519,0.796936266267639
"177","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.861442604578018,0.810785781908246
"178","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.757867206109421,0.882075530774673
"179","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.791139398016,0.830286264885501
"180","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.753625355955587,0.809634308868553
"181","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.794304973666875,0.78006666863124
"182","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.749683600622053,0.826316993112303
"183","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.753286570614697,0.811832524013432
"184","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.830972255332475,0.799139967347969
"185","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.776286489601429,0.79936580441156
"186","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.709691765384798,0.829238239659745
"187","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.817555906739037,0.806369849945457
"188","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.775374629095671,0.828239052060252
"189","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.76652811169344,0.771572165545562
"190","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.79888827777881,0.877158010249673
"191","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.806284922094219,0.820432559914363
"192","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.788273394985148,0.823345992471555
"193","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.752900504467667,0.837292881268329
"194","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.726557526655812,0.804243386658247
"195","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.764680371773433,0.797988451856917
"196","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.784870218078838,0.864377581450176
"197","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.742144006970182,0.805459319019542
