"","d","p","lfc","comp","gene"
"153",-0.104764078195012,0.0378023105354901,-0.0273917101806326,"LC v. H - CV","ACBD5"
"154",0.0432632999349324,0.964687546326141,0.0460794421767568,"LC v. H - CV","ACBD6"
"155",-0.283646827229953,0.0253274621532027,-0.943608028451922,"LC v. H - CV","ACBD7-DCLRE1CP1"
"156",-0.283646827229953,0.0253274621532027,-0.943608028451922,"LC v. H - CV","ACBD7"
"157",0.012673276615027,0.872373549364724,-0.00569195226716607,"LC v. H - CV","ACCS"
"158",-0.0447522020644106,0.980825965816317,0.0210488889809621,"LC v. H - CV","ACCSL"
"159",-0.471152966807585,0.00162765180194056,-0.165433978427684,"LC v. H - CV","ACD"
"160",0.0686746385345445,0.385540906152465,-0.41214929063785,"LC v. H - CV","ACE"
"161",-0.218276389051938,0.179161693593963,-0.0695524268537054,"LC v. H - CV","ACER1"
"162",0.111261468570761,0.498577284339539,-1.03701198197903,"LC v. H - CV","ACER2"
"163",-0.186099867163429,0.244024045796127,-0.277324298006243,"LC v. H - CV","ACER3"
"164",-0.534544058846799,0.000397460245294847,-0.138779704382721,"LC v. H - CV","ACHE"
"165",-0.618482970429748,1.85388324606164e-06,-0.325138789945106,"LC v. H - CV","ACIN1"
"166",-0.368820756165773,0.0437711337594189,0.160539521422813,"LC v. H - CV","ACKR1"
"167",-0.337138692016231,0.0457923688726253,-0.823522101768101,"LC v. H - CV","ACKR2"
"168",0.226942413550028,0.119444030127978,-0.096624586030482,"LC v. H - CV","ACKR3"
"169",0.637260300952866,2.23521779384989e-05,0.4853558648429,"LC v. H - CV","ACKR4"
"170",-0.361569006922439,0.0227952701252828,-0.199836914153891,"LC v. H - CV","ACLY"
"171",0.356642481314969,0.00792946764132556,NA,"LC v. H - CV","ACMSD"
"172",-0.148799934276985,0.207265211277994,0.207873202607397,"LC v. H - CV","ACO1"
"173",-0.72191876959399,2.03057928673087e-05,-0.229707913174008,"LC v. H - CV","ACO2"
"174",0.195642292182108,0.0567848416976321,-1.90185071622782,"LC v. H - CV","ACOD1"
"175",-0.169781256382226,0.0664474907455594,-0.075605748626792,"LC v. H - CV","ACOT1"
"176",-0.210196056332903,0.145415242853728,0.168967241288264,"LC v. H - CV","ACOT11"
"177",-0.0541222195971844,0.360436229145721,0.57108418318531,"LC v. H - CV","ACOT12"
"178",-0.177641098616635,0.107622248316274,-0.0796358853462148,"LC v. H - CV","ACOT13"
"179",-0.169781256382226,0.0664474907455594,-0.075605748626792,"LC v. H - CV","ACOT2"
"180",-0.169781256382226,0.0664474907455594,-0.075605748626792,"LC v. H - CV","ACOT4"
"181",-0.169781256382226,0.0664474907455594,-0.075605748626792,"LC v. H - CV","ACOT6"
"182",0.265313060871776,0.071465970544839,0.34722250209883,"LC v. H - CV","ACOT7"
"183",-0.643339765097203,6.65715710304219e-06,-0.294671430056728,"LC v. H - CV","ACOT8"
"184",-0.77696236731284,2.10350762879397e-07,-0.248616825863903,"LC v. H - CV","ACOX1"
"185",-0.13997748036086,0.290874680168788,0.27058118235109,"LC v. H - CV","ACOX2"
"186",-0.192251073191866,0.102733959271616,0.422725095965886,"LC v. H - CV","ACOX3"
"187",-0.0558708197795053,0.825796887220541,0.0442046571390564,"LC v. H - CV","ACOXL-AS1"
"188",0.0130158639056021,0.883344948069426,-0.00466991476542833,"LC v. H - CV","ACOXL"
"189",-0.115260034067448,0.524611740088766,-0.11573303137367,"LC v. H - CV","ACP1"
"190",-0.490414801089512,0.000245421324656843,-0.197568059223757,"LC v. H - CV","ACP2"
"191",-0.302877558185715,0.00954717561967051,-0.338999968967721,"LC v. H - CV","ACP3"
"192",-0.26501418596136,0.0712673657020198,-0.149345629359042,"LC v. H - CV","ACP4"
"193",-0.323513591478131,0.0153684183178071,-0.0900708203632431,"LC v. H - CV","ACP5"
"194",-0.188116917023166,0.452436012403503,0.229300810449985,"LC v. H - CV","ACP6"
"195",-0.23775833766709,0.11676549742132,-0.121164425430147,"LC v. H - CV","ACP7"
"196",-0.308376171975689,0.0411937851583222,-0.103118035036485,"LC v. H - CV","ACRBP"
"197",-0.0489808321367602,0.863415077303459,0.057200152333497,"LC v. H - CV","ACRV1"
"198",-0.23111904956908,0.238941481986173,0.219583135334454,"LC v. H - CV","ACSBG1"
"199",-0.487068105696469,0.00262999150172473,-0.255931219702978,"LC v. H - CV","ACSBG2"
"200",-0.436039732880023,0.0014097484771994,-1.17397653895126,"LC v. H - CV","ACSF2"
"201",-0.535009254089979,0.00013004650841799,-0.165128564879456,"LC v. H - CV","ACSF3"
"202",-0.513502079314239,0.00055134438829589,-0.315231486041212,"LC v. H - CV","ACSL1"
"203",0.0523312063910129,0.573511449964311,0.118845223251609,"LC v. H - CV","ACSL3"
"204",-0.104869857568797,0.380711166622411,-0.535842150907926,"LC v. H - CV","ACSL5"
"205",-0.310203066563003,0.0391052384198263,0.122786201416046,"LC v. H - CV","ACSL6"
"206",0.168101561612578,0.489789248238999,0.159440609711679,"LC v. H - CV","ACSM1"
"207",0.0005426953729242,0.705274712204869,0.000438075508458412,"LC v. H - CV","ACSM3"
"208",-0.31000473516105,0.0279189203882511,-0.528175035405156,"LC v. H - CV","ACSS1"
"209",-0.310915957981739,0.0149454532606357,-0.735453947743821,"LC v. H - CV","ACSS2"
"210",0.0762294877430185,0.882346590405061,0.040534366979087,"LC v. H - CV","ACSS3"
